CategoryDescription,DomesticForeign,ProdLineDescription,Year,QuarterName,MonthName,Qty Sales,Gross Sales(USD),Qty Order,Gross Orders(USD),Qty Plan,Gross Plan(USD),Qty To Plan,Qty Forecast,Gross Forecast(USD),Qty Plan To Actual(%),Qty Forecast To Order(%),Qty Forecast To Actual(%),Gross Plan To Actual(%),Gross Forecast To Order(%),Gross Forecast To Actual(%)
Equipment,,AirShirz,2017,Q1 2017,January 2017,,,,,,,,,,-100.00 %,-100.00 %,-100.00 %,-100.00 %,100.0 %,-100.00 %
Equipment,,AirShirz,2017,Q1 2017,February 2017,,,,,,,,,,-100.00 %,-100.00 %,-100.00 %,-100.00 %,100.0 %,-100.00 %
Equipment,,AirShirz,2017,Q1 2017,March 2017,,,,,,,,,,-100.00 %,-100.00 %,-100.00 %,-100.00 %,100.0 %,-100.00 %
Equipment,,AirShirz,2017,Q2 2017,April 2017,,,,,,,,,,-100.00 %,-100.00 %,-100.00 %,-100.00 %,100.0 %,-100.00 %
Equipment,,FoodService,2017,Q1 2017,January 2017,,,,,,,,,,-100.00 %,-100.00 %,-100.00 %,-100.00 %,100.0 %,-100.00 %
Equipment,,FoodService,2017,Q1 2017,February 2017,,,,,,,,,,-100.00 %,-100.00 %,-100.00 %,-100.00 %,100.0 %,-100.00 %
Equipment,,FoodService,2017,Q1 2017,March 2017,,,,,,,,,,-100.00 %,-100.00 %,-100.00 %,-100.00 %,100.0 %,-100.00 %
Equipment,,FoodService,2017,Q2 2017,April 2017,,,,,,,,,,-100.00 %,-100.00 %,-100.00 %,-100.00 %,100.0 %,-100.00 %
Equipment,,PowerKnife,2017,Q1 2017,January 2017,,,,,,,,,,-100.00 %,-100.00 %,-100.00 %,-100.00 %,100.0 %,-100.00 %
Equipment,,PowerKnife,2017,Q1 2017,February 2017,,,,,,,,,,-100.00 %,-100.00 %,-100.00 %,-100.00 %,100.0 %,-100.00 %
Equipment,,PowerKnife,2017,Q1 2017,March 2017,,,,,,,,,,-100.00 %,-100.00 %,-100.00 %,-100.00 %,100.0 %,-100.00 %
Equipment,,PowerKnife,2017,Q2 2017,April 2017,,,,,,,,,,-100.00 %,-100.00 %,-100.00 %,-100.00 %,100.0 %,-100.00 %
Equipment,,Whizard,2017,Q1 2017,January 2017,,,,,,,,,,-100.00 %,-100.00 %,-100.00 %,-100.00 %,100.0 %,-100.00 %
Equipment,,Whizard,2017,Q1 2017,February 2017,,,,,,,,,,-100.00 %,-100.00 %,-100.00 %,-100.00 %,100.0 %,-100.00 %
Equipment,,Whizard,2017,Q1 2017,March 2017,,,,,,,,,,-100.00 %,-100.00 %,-100.00 %,-100.00 %,100.0 %,-100.00 %
Equipment,,Whizard,2017,Q2 2017,April 2017,,,,,,,,,,-100.00 %,-100.00 %,-100.00 %,-100.00 %,100.0 %,-100.00 %
Equipment,Domestic,AirShirz,2017,Q1 2017,January 2017,7,$19691,7,$19352,6,$15283,1,6,$15112,-7.44 %,-7.44 %,-7.44 %,-22.39 %,21.9 %,-23.26 %
Equipment,Domestic,AirShirz,2017,Q1 2017,February 2017,9,$24407,5,$12791,7,$17479,2,7,$17396,-22.68 %,39.18 %,-22.68 %,-28.39 %,-36.0 %,-28.73 %
Equipment,Domestic,AirShirz,2017,Q1 2017,March 2017,6,$15217,5,$12311,9,$23073,-3,9,$23028,56.47 %,87.76 %,56.47 %,51.63 %,-87.1 %,51.33 %
Equipment,Domestic,AirShirz,2017,Q2 2017,April 2017,4,$11315,4,$11315,8,$18584,-4,8,$18768,96.17 %,99.80 %,99.80 %,64.24 %,-65.9 %,65.87 %
Equipment,Domestic,FoodService,2017,Q1 2017,January 2017,7,$90277,4,$35327,1,$12568,6,5,$59297,-87.00 %,31.37 %,-24.93 %,-86.08 %,-67.9 %,-34.32 %
Equipment,Domestic,FoodService,2017,Q1 2017,February 2017,11,$114454,12,$127289,3,$43794,8,5,$57332,-71.64 %,-59.89 %,-56.25 %,-61.74 %,55.0 %,-49.91 %
Equipment,Domestic,FoodService,2017,Q1 2017,March 2017,12,$174528,12,$166620,9,$107432,3,12,$144037,-22.86 %,-3.78 %,-3.78 %,-38.44 %,13.6 %,-17.47 %
Equipment,Domestic,FoodService,2017,Q2 2017,April 2017,7,$102554,7,$97989,11,$142062,-4,11,$145639,58.94 %,63.33 %,63.33 %,38.52 %,-48.6 %,42.01 %
Equipment,Domestic,PowerKnife,2017,Q1 2017,January 2017,4,$8540,4,$8540,2,$4270,2,2,$4270,-50.00 %,-50.00 %,-50.00 %,-50.00 %,50.0 %,-50.00 %
Equipment,Domestic,PowerKnife,2017,Q1 2017,February 2017,11,$23485,13,$27755,3,$5952,8,4,$8228,-73.95 %,-70.27 %,-64.86 %,-74.65 %,70.4 %,-64.96 %
Equipment,Domestic,PowerKnife,2017,Q1 2017,March 2017,9,$19215,9,$19215,8,$17076,1,10,$21346,-11.13 %,11.09 %,11.09 %,-11.13 %,-11.1 %,11.09 %
Equipment,Domestic,PowerKnife,2017,Q2 2017,April 2017,16,$34160,16,$34160,10,$22324,6,12,$26594,-34.65 %,-22.15 %,-22.15 %,-34.65 %,22.2 %,-22.15 %
Equipment,Domestic,Whizard,2017,Q1 2017,January 2017,363,$788152,246,$489523,203,$470720,160,202,$469450,-43.95 %,-17.88 %,-44.35 %,-40.28 %,4.1 %,-40.44 %
Equipment,Domestic,Whizard,2017,Q1 2017,February 2017,188,$355440,187,$341314,282,$728618,-94,276,$730610,50.09 %,47.69 %,46.90 %,104.99 %,-114.1 %,105.55 %
Equipment,Domestic,Whizard,2017,Q1 2017,March 2017,376,$978771,378,$992131,242,$568174,134,240,$568927,-35.57 %,-36.57 %,-36.23 %,-41.95 %,42.7 %,-41.87 %
Equipment,Domestic,Whizard,2017,Q2 2017,April 2017,316,$1006853,190,$420086,338,$640695,-22,337,$650006,6.81 %,77.57 %,6.77 %,-36.37 %,-54.7 %,-35.44 %
Equipment,Foreign,AirShirz,2017,Q1 2017,January 2017,,,,,,,,,,-100.00 %,-100.00 %,-100.00 %,-100.00 %,100.0 %,-100.00 %
Equipment,Foreign,AirShirz,2017,Q1 2017,February 2017,1,$3255,2,$6439,2,$5219,-1,2,$5156,100.00 %,0.00 %,100.00 %,60.34 %,19.9 %,58.40 %
Equipment,Foreign,AirShirz,2017,Q1 2017,March 2017,5,$14304,4,$11120,2,$5472,3,2,$5421,-60.00 %,-50.00 %,-60.00 %,-61.75 %,51.3 %,-62.11 %
Equipment,Foreign,AirShirz,2017,Q2 2017,April 2017,1,$2311,1,$2311,3,$6886,-2,,,200.00 %,-100.00 %,-100.00 %,198.01 %,100.0 %,-100.00 %
Equipment,Foreign,FoodService,2017,Q1 2017,January 2017,2,$25177,1,$12342,1,$17612,1,1,$17611,-30.95 %,38.10 %,-30.95 %,-30.05 %,-42.7 %,-30.05 %
Equipment,Foreign,FoodService,2017,Q1 2017,February 2017,1,$12342,1,$12342,1,$10663,0,1,$10169,-16.00 %,-20.00 %,-20.00 %,-13.60 %,17.6 %,-17.60 %
Equipment,Foreign,FoodService,2017,Q1 2017,March 2017,2,$17417,1,$5075,4,$52173,-2,3,$36174,112.90 %,189.10 %,44.55 %,199.55 %,-612.8 %,107.69 %
Equipment,Foreign,FoodService,2017,Q2 2017,April 2017,0,$0,1,$12342,0,$455,0,0,$308,-100.00 %,-97.60 %,-100.00 %,-100.00 %,97.5 %,-100.00 %
Equipment,Foreign,PowerKnife,2017,Q1 2017,January 2017,0,$0,,,1,$2135,-1,1,$2135,-100.00 %,-100.00 %,-100.00 %,-100.00 %,100.0 %,-100.00 %
Equipment,Foreign,PowerKnife,2017,Q1 2017,February 2017,20,$42700,20,$42700,26,$55510,-6,26,$55510,30.00 %,30.00 %,30.00 %,30.00 %,-30.0 %,30.00 %
Equipment,Foreign,PowerKnife,2017,Q1 2017,March 2017,1,$2135,1,$2135,21,$44835,-20,21,$44835,2000.00 %,2000.00 %,2000.00 %,2000.00 %,-2000.0 %,2000.00 %
Equipment,Foreign,PowerKnife,2017,Q2 2017,April 2017,17,$36295,22,$46970,1,$2135,16,3,$6405,-94.12 %,-86.36 %,-82.35 %,-94.12 %,86.4 %,-82.35 %
Equipment,Foreign,Whizard,2017,Q1 2017,January 2017,172,$425612,114,$292369,93,$305063,79,99,$313147,-46.17 %,-13.35 %,-42.57 %,-28.32 %,-7.1 %,-26.42 %
Equipment,Foreign,Whizard,2017,Q1 2017,February 2017,171,$477666,151,$414962,154,$426435,17,123,$330182,-9.65 %,-18.27 %,-27.83 %,-10.73 %,20.4 %,-30.88 %
Equipment,Foreign,Whizard,2017,Q1 2017,March 2017,154,$432921,178,$507525,181,$590665,-27,198,$646335,17.21 %,11.38 %,28.74 %,36.44 %,-27.4 %,49.30 %
Equipment,Foreign,Whizard,2017,Q2 2017,April 2017,166,$550166,159,$522527,187,$564618,-21,134,$409774,12.64 %,-16.01 %,-19.55 %,2.63 %,21.6 %,-25.52 %
Equipment,InterCo,AirShirz,2017,Q1 2017,January 2017,,,,,,,,,,-100.00 %,-100.00 %,-100.00 %,-100.00 %,100.0 %,-100.00 %
Equipment,InterCo,AirShirz,2017,Q1 2017,February 2017,,,,,,,,,,-100.00 %,-100.00 %,-100.00 %,-100.00 %,100.0 %,-100.00 %
Equipment,InterCo,AirShirz,2017,Q1 2017,March 2017,,,,,,,,,,-100.00 %,-100.00 %,-100.00 %,-100.00 %,100.0 %,-100.00 %
Equipment,InterCo,AirShirz,2017,Q2 2017,April 2017,,,,,,,,,,-100.00 %,-100.00 %,-100.00 %,-100.00 %,100.0 %,-100.00 %
Equipment,InterCo,FoodService,2017,Q1 2017,January 2017,,,,,,,,,,-100.00 %,-100.00 %,-100.00 %,-100.00 %,100.0 %,-100.00 %
Equipment,InterCo,FoodService,2017,Q1 2017,February 2017,,,,,,,,,,-100.00 %,-100.00 %,-100.00 %,-100.00 %,100.0 %,-100.00 %
Equipment,InterCo,FoodService,2017,Q1 2017,March 2017,,,,,,,,,,-100.00 %,-100.00 %,-100.00 %,-100.00 %,100.0 %,-100.00 %
Equipment,InterCo,FoodService,2017,Q2 2017,April 2017,,,,,,,,,,-100.00 %,-100.00 %,-100.00 %,-100.00 %,100.0 %,-100.00 %
Equipment,InterCo,PowerKnife,2017,Q1 2017,January 2017,,,,,,,,,,-100.00 %,-100.00 %,-100.00 %,-100.00 %,100.0 %,-100.00 %
Equipment,InterCo,PowerKnife,2017,Q1 2017,February 2017,,,,,,,,,,-100.00 %,-100.00 %,-100.00 %,-100.00 %,100.0 %,-100.00 %
Equipment,InterCo,PowerKnife,2017,Q1 2017,March 2017,,,,,,,,,,-100.00 %,-100.00 %,-100.00 %,-100.00 %,100.0 %,-100.00 %
Equipment,InterCo,PowerKnife,2017,Q2 2017,April 2017,,,,,,,,,,-100.00 %,-100.00 %,-100.00 %,-100.00 %,100.0 %,-100.00 %
Equipment,InterCo,Whizard,2017,Q1 2017,January 2017,25,$43828,17,$34272,5,$1370,20,6,$20394,-81.04 %,-66.24 %,-77.04 %,-96.87 %,40.5 %,-53.47 %
Equipment,InterCo,Whizard,2017,Q1 2017,February 2017,65,$152764,62,$141316,31,$117422,34,85,$239539,-52.31 %,37.10 %,30.77 %,-23.13 %,-69.5 %,56.80 %
